City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isetskoye,56.4858,65.3226,7.68,69,94,4.61,RU,1715033761
1,nueve de julio,-35.4444,-60.8831,12.76,99,99,3.58,AR,1715033637
2,barcs,45.96,17.4586,15.76,65,90,6.35,HU,1715033766
3,ust-nera,64.5667,143.2,1.94,86,39,2.38,RU,1715033563
4,hammerfest,70.6634,23.6821,-1.75,93,75,2.57,NO,1715033557
5,adamstown,-25.066,-130.1015,21.94,78,47,8.12,PN,1715033555
6,kokstad,-30.5472,29.4241,13.76,40,0,2.17,ZA,1715033565
7,puerto natales,-51.7236,-72.4875,-0.9,90,18,1.27,CL,1715033553
8,thal,35.4791,72.2439,6.36,51,0,3.71,PK,1715033778
9,khandyga,62.6667,135.6,3.68,89,31,2.23,RU,1715033540
10,ponta delgada,37.7333,-25.6667,19.4,88,75,7.2,PT,1715033783
11,port-aux-francais,-49.35,70.2167,6.37,98,100,12.75,TF,1715033553
12,yaren,-0.5472,166.916,29.15,75,98,7.16,NR,1715033564
13,waitangi,-43.9535,-176.5597,11.57,86,88,2.68,NZ,1715033558
14,toliara,-23.35,43.6667,20.99,63,0,2.77,MG,1715033599
15,kill devil hills,36.0307,-75.676,25.0,84,75,7.72,US,1715033575
16,ibiza,38.9088,1.433,19.01,79,0,3.13,ES,1715033795
17,chhor,25.5167,69.7667,30.68,42,0,5.28,PK,1715033797
18,olonkinbyen,70.9221,-8.7187,0.4,96,100,7.39,SJ,1715033569
19,grytviken,-54.2811,-36.5092,0.45,80,76,4.26,GS,1715033555
20,puerto ayora,-0.7393,-90.3518,25.98,95,39,2.24,EC,1715033578
21,fengkou,30.0833,113.2667,19.94,87,98,2.42,CN,1715033806
22,constantia,44.1833,28.65,10.39,77,67,7.32,RO,1715033558
23,whitehorse,60.7161,-135.0538,7.23,77,100,2.68,CA,1715033579
24,yellowknife,62.456,-114.3525,16.98,50,19,5.81,CA,1715033556
25,ilulissat,69.2167,-51.1,-4.99,68,75,4.63,GL,1715033561
26,zinjibar,13.1287,45.3807,29.59,76,58,3.24,YE,1715033816
27,pandan,14.0453,124.1694,26.64,86,44,1.74,PH,1715033818
28,udachny,66.4167,112.4,-0.31,98,97,8.09,RU,1715033559
29,bilibino,68.0546,166.4372,-3.56,93,84,1.02,RU,1715033559
30,fort-shevchenko,44.5086,50.263,13.46,51,100,4.38,KZ,1715033825
31,praia da vitoria,38.7333,-27.0667,19.14,94,75,12.03,PT,1715033576
32,kodiak,57.79,-152.4072,7.73,76,100,4.63,US,1715033585
33,stanley,54.868,-1.6985,10.01,93,100,2.06,GB,1715033571
34,port saint john's,-31.6229,29.5448,23.22,47,0,3.05,ZA,1715033590
35,guerrero negro,27.9769,-114.0611,18.81,55,28,8.65,MX,1715033592
36,ushuaia,-54.8,-68.3,-2.51,97,93,0.61,AR,1715033486
37,sinop,41.7711,34.8709,5.33,70,0,3.36,TR,1715033580
38,punta arenas,-53.15,-70.9167,3.06,87,75,1.03,CL,1715033299
39,deyang,31.1302,104.382,19.12,72,92,1.07,CN,1715033844
40,west island,-12.1568,96.8225,26.99,83,40,5.14,CC,1715033557
41,anadyr,64.75,177.4833,-4.72,93,0,2.0,RU,1715033572
42,iskateley,67.6803,53.1512,-10.55,91,84,4.02,RU,1715033555
43,blackmans bay,-43.0167,147.3167,7.51,91,9,0.45,AU,1715033553
44,saint croix,17.7397,-64.7388,26.64,85,76,1.34,VI,1715033854
45,ribeira grande,38.5167,-28.7,18.22,88,40,8.23,PT,1715033564
46,hawaiian paradise park,19.5933,-154.9731,24.93,89,100,3.6,US,1715033557
47,thompson,55.7435,-97.8558,17.29,35,50,4.47,CA,1715033560
48,sarangani,5.4033,125.4636,28.19,78,87,5.55,PH,1715033576
49,lerwick,60.1545,-1.1494,9.0,95,94,1.44,GB,1715033755
50,severo-yeniseyskiy,60.3725,93.0408,-0.24,88,88,4.92,RU,1715033867
51,vila franca do campo,37.7167,-25.4333,19.23,99,100,8.87,PT,1715033586
52,yulinshi,38.2906,109.7494,15.4,24,0,3.61,CN,1715033871
53,roma,43.2128,-75.4557,20.08,32,0,5.14,US,1715033578
54,utrik,11.2278,169.8474,27.22,83,93,9.26,MH,1715033557
